number_of_seats,length_mm,width_mm,height_mm,curb_weight_kg,maximum_torque_n_m,number_of_cylinders,valves_per_cylinder,turnover_of_maximum_torque_rpm,capacity_cm3,engine_hp,engine_hp_rpm,number_of_gears,injection_type_Injector,injection_type_Monoinjection,injection_type_Multi-point fuel injection,injection_type_carburetor,injection_type_direct injection,cylinder_layout_Opposed,cylinder_layout_Rotary-piston,cylinder_layout_V-type,cylinder_layout_W-type,cylinder_layout_inline,engine_type_Gas,engine_type_Gasoline,engine_type_Hybrid,boost_type_none,drive_wheels_Four wheel drive (4WD),drive_wheels_Front wheel drive,drive_wheels_Rear wheel drive,mixed_fuel_consumption_per_100_km_l
4,4488,1757,1352,1620,362,6,4,4800,3346,305,6300,6,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,11.0
5,4471,1739,1414,1560,335,6,4,4500,3300,280,6200,5,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,11.0
5,4471,1739,1395,1450,335,6,4,4500,3300,280,6200,6,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,10.0
5,4471,1739,1414,1450,362,6,4,4800,3346,305,6300,6,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,10.0
5,4478,1739,1409,1630,335,6,4,4500,3300,280,6200,5,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,11.0
5,4478,1739,1409,1620,335,6,4,4500,3300,280,6200,6,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,11.0
5,4478,1739,1409,1525,362,6,4,4800,3346,305,6300,6,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,11.0
4,4580,1782,1385,1845,500,6,4,5000,2979,360,6000,6,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,9.9
5,4580,1782,1410,1670,500,6,4,5000,2979,360,6000,6,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,10.1
5,4580,1782,1395,1560,500,6,4,5000,2979,360,6000,6,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,9.7
5,4841,1846,1468,1720,725,8,4,4750,4398,530,5500,6,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,12.3
5,4843,1846,1491,1810,725,8,4,4750,4398,530,5500,6,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,12.4
5,5170,1900,1480,1990,700,8,4,4250,4398,500,5500,6,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,15.9
5,5030,1900,1480,1970,700,8,4,4250,4398,500,5500,6,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,15.9
5,5087,1902,1485,2040,700,8,4,3000,4395,507,5500,6,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,12.1
5,5087,1902,1485,2130,700,8,4,3000,4395,507,5500,6,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,12.4
5,4433,1710,1346,1490,410,8,4,4500,3982,313,5700,6,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,11.0
5,4433,1698,1373,1500,470,8,4,3900,4619,333,5700,6,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,11.0
2,4400,1830,1320,1615,520,8,4,3800,4837,381,5800,5,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,9.0
5,3835,1640,1732,1475,118,4,2,2250,1870,65,4600,5,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,11.0
2,4155,1775,1840,1700,205,4,2,2500,2498,95,4150,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,10.0
4,3585,1690,1820,1280,133,4,2,2000,1789,77,5500,5,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,12.2
4,3720,1630,1800,1330,126,4,2,2000,2184,61,4050,5,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,10.0
4,3078,1680,1500,988,125,4,4,4400,1330,98,6000,6,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,5.0
4,4692,1830,1270,1875,542,12,4,5000,5935,420,6000,5,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,18.7
4,4692,1830,1270,1875,542,12,4,5000,5935,420,6000,6,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,18.7
4,4585,1829,1346,1650,510,8,2,4900,5340,380,6000,5,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,17.5
5,4810,1810,1420,1267,188,5,2,3500,2226,138,5700,4,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,9.0
5,4810,1810,1420,1410,240,5,2,3000,2226,165,5500,5,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,10.8
5,4810,1810,1420,1410,270,5,2,3000,2226,200,5800,4,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,10.8
5,4807,1814,1422,1290,309,5,4,1950,2226,220,5900,4,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,10.5
5,4810,1810,1420,1290,270,5,2,3000,2226,200,5800,4,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,10.3
5,4810,1810,1420,1290,270,5,2,3000,2226,200,5800,4,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,9.7
5,4810,1810,1420,1449,252,5,2,3600,2144,182,5700,5,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,10.1
5,4810,1810,1420,1450,240,5,2,3000,2226,165,5500,5,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,11.1
5,4810,1810,1420,1450,270,5,2,3000,2226,200,5800,5,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,11.1
5,4810,1810,1420,1450,309,5,4,1950,2226,220,5900,5,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,10.8
5,4383,1682,1365,890,95,4,2,3800,1272,59,5800,4,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,8.8
5,4383,1682,1365,1000,154,4,2,3700,1921,113,5900,3,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,9.6
5,3987,1740,1416,1390,350,4,4,4500,1984,256,6000,6,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,8.6
5,4810,1852,1526,1795,350,6,5,1800,2671,250,5800,6,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,12.8
5,4810,1852,1526,1795,350,6,5,1800,2671,250,5800,5,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,13.2
5,4810,1852,1526,1860,380,8,5,2700,4163,300,6200,5,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,13.7
5,4366,1716,1379,1350,165,4,2,3200,1984,115,5400,5,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,9.1
5,4496,1684,1349,980,145,4,2,3300,1781,90,5200,5,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,8.3
5,4496,1684,1349,1050,165,5,2,3200,1994,115,5400,3,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,8.5
5,4496,1684,1349,1050,165,5,2,3200,1994,115,5400,5,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,8.5
5,4496,1684,1349,1137,171,5,2,4800,2144,130,5900,3,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,9.6
5,4496,1684,1349,1137,171,5,2,4800,2144,130,5900,5,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,9.6
